,NOME,VALOR,DETALHES,ENDEREÇO
0,LC - Apartamento em Ponta Negra!,R$ 1.500,"['2 quartos ', ' 58m² ', ' 1 vaga']",Ponta Negra
1,"Alugo apartamento no Alecrim, sua casa no centro da cidade",R$ 650,"['2 quartos ', ' 50m²']",Alecrim
2,LCAP2201 - Ótimo apartamento em Tirol!,R$ 3.600,"['2 quartos ', ' 200m² ', ' 2 vagas']",Barro Vermelho
3,Kitnet UFRN cidade jardim capim macio,R$ 800,,Capim Macio
4,Kitinet excelente localização Ponta Negra,R$ 2.500,"['1 quarto ', ' 14m² ', ' Condomínio: R$ 0']",Ponta Negra
5,Apartamento top Ponta Negra,R$ 3.500,"['1 quarto ', ' 1 vaga']",Ponta Negra
6,Loft de Altissimo Padrão em Ponta Negra. ,R$ 3.500,"['1 quarto ', ' 1 vaga']",Ponta Negra
7,"Kitnet em Capim Macio, do lado do Shopp Cidade jardim",R$ 650,"['1 quarto ', ' 30m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Capim Macio
8,"Aluga-se apartamentos no Condominio Maria Luiza, apto de",R$ 1.700,"['2 quartos ', ' 61m² ', ' Condomínio: R$ 595 ', ' 1 vaga']",Nossa Senhora de Nazaré
9,Aluguel de apartamento com todas as taxas inclusas ,R$ 1.100,"['2 quartos ', ' 43m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Nossa Senhora da Apresentação
10,Condomínio residencial Vitória,R$ 1.150,"['2 quartos ', ' 76m² ', ' 1 vaga']",Lagoa Nova
11,Alugo Apartamento nas proximidades do supermercado favorito da Ayrton Senna.,R$ 680,"['2 quartos ', ' Condomínio: R$ 0 ', ' 1 vaga']",Neópolis
12,Apartamento - Condomínio Parque das Princesas - Capim Macio,R$ 700,"['2 quartos ', ' 0m²']",Capim Macio
13,"Disponível a partir do dia 30 janeiro, Estrela do Atlantico",R$ 2.500,"['2 quartos ', ' 57m² ', ' 1 vaga']",Ponta Negra
14,Apto em Cidade Satélite - Térreo - 2/4 - R$ 700 reais - Incluso taxas,R$ 700,"['2 quartos ', ' 49m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Pitimbu
15,Ultima unidade no Res. Porto Fino - Pitimbu para alugar,R$ 680,"['2 quartos ', ' 0m² ', ' 1 vaga']",Pitimbu
16,Aluga-se apartamento em Ponta Negra,R$ 1.800,"['2 quartos ', ' 0m² ', ' 1 vaga']",Ponta Negra
17,Apartamento mobiliado para alugar em Ponta Negra,R$ 2.300,"['2 quartos ', ' 57m² ', ' 1 vaga']",Ponta Negra
18,Apartamento em Neopolis para locação,R$ 900,"['2 quartos ', ' 0m² ', ' 1 vaga']",Neópolis
19,"Locação no Sun Goldem 2/4 sendo 1 suíte R$ 1.350,00",R$ 1.350,"['2 quartos ', ' 56m² ', ' 1 vaga']",Ponta Negra
20,"Alugo apartamento em Capim Macio - Maria Bernadete Três quartos, sendo uma suíte",R$ 2.500,"['3 quartos ', ' 78m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Capim Macio
21,Alugo Apartamento 1/4 Garagem Ponta Negra ,R$ 520,"['1 quarto ', ' 1 vaga']",Ponta Negra
22,Aluguel temporada de apartamento com 2 quartos no Blue Ocean em Ponta Negra/ Natal-RN,R$ 300,"['2 quartos ', ' 55m² ', ' Condomínio: R$ 0 ', ' 1 vaga']",Ponta Negra
23,"Cond. Quatro Estações, Candelária - Apto mobiliado 2/4 sendo 1 suíte com 56m², para alugar",R$ 2.100,"['2 quartos ', ' 56m² ', ' 1 vaga']",Candelária
24,Apartamento 2/4 próximo ao IFRN e Midway. ,R$ 1.500,"['2 quartos ', ' 77m² ', ' Condomínio: R$ 0 ', ' 2 vagas']",Lagoa Nova
25,Aluga-se Apartamento / Kitnet em Ponta Negra Mobiliado,R$ 800,"['1 quarto ', ' 0m²']",Ponta Negra
